Feature,SHAP_Importance
physics_residual,5.974701809314178
physics_theoretical_energy,1.7979797807998334
physics_aero_energy,1.578776656113353
physics_rolling_energy,1.1185504567144609
distance_km,0.8049199969748402
distance_efficiency_interaction,0.659017620810942
speed_variance_proxy,0.4074955386503397
avg_speed_kmh,0.37337442233504875
physics_potential_energy,0.3589825580769264
route_embed_1,0.33412598355951295
route_embed_3,0.32307134052072595
vehicle_weight_kg,0.3225961999291192
trip_duration_hours,0.32031010005292476
stop_count,0.30113687712902315
stop_intensity,0.28947627992478
hvac_load_intensity,0.2828701069006392
road_surface_quality,0.2639719588213864
hvac_power_kW,0.260457023197714
speed_temp_interaction,0.22719821226255685
ambient_temp_celsius,0.22561678876521402
road_type_encoded,0.20975130668102776
traffic_level,0.2061967158814448
rolling_resistance_coeff,0.20158955060280617
thermal_stress,0.20043227785146855
elevation_gain_m,0.19972735984721107
weather_severity,0.19951985962116542
humidity_percent,0.19537502490111536
route_embed_2,0.1925550005257273
traffic_gradient_interaction,0.18815399929157403
wind_speed_kmh,0.18711936989535852
total_mass_kg,0.18680008502209725
time_of_day_encoded,0.18615974157975473
power_to_weight_ratio,0.1859190883530271
aero_efficiency,0.18500184832555164
driver_aggressiveness_index,0.1786796332700067
regen_efficiency,0.17712590043102608
environmental_stress,0.1745371714965419
drivetrain_quality_score,0.17168685770355127
payload_gradient_interaction,0.1697897600261492
city_encoded,0.1697487032843239
gradient_severity,0.16576557293621896
vehicle_model_encoded,0.16305961710293781
payload_kg,0.16281446470971986
elevation_intensity,0.15953845906475195
weather_condition_encoded,0.1591149084450876
drivetrain_efficiency,0.15626602754925953
route_complexity_score,0.15583563862749797
battery_capacity_kWh,0.1542059331844318
driver_vehicle_interaction,0.1502366973733289
drag_coefficient,0.14967252621468272
road_gradient_percent,0.13993762349647118
hour_of_day,0.1384385391581724
